period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2021-01,57046,Archer Daniels Midland Columbus,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.286328,41.4164420000001,5666,16225,57046,Archer Daniels Midland Columbus,772,Archer Daniels Midland Co,Industrial CHP,3000 East 8th Street,Columbus,Platte,Nebraska,68601,coal,Coal = 61 MW,Conventional Steam Coal,71.4,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-97.286328,41.416442
2019-11,57046,Archer Daniels Midland Columbus,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.286328,41.4164420000001,5666,16225,57046,Archer Daniels Midland Columbus,772,Archer Daniels Midland Co,Industrial CHP,3000 East 8th Street,Columbus,Platte,Nebraska,68601,coal,Coal = 61 MW,Conventional Steam Coal,71.4,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-97.286328,41.416442
2022-04,57046,Archer Daniels Midland Columbus,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.286328,41.4164420000001,5666,16225,57046,Archer Daniels Midland Columbus,772,Archer Daniels Midland Co,Industrial CHP,3000 East 8th Street,Columbus,Platte,Nebraska,68601,coal,Coal = 61 MW,Conventional Steam Coal,71.4,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-97.286328,41.416442
2023-06,57046,Archer Daniels Midland Columbus,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.286328,41.4164420000001,5666,16225,57046,Archer Daniels Midland Columbus,772,Archer Daniels Midland Co,Industrial CHP,3000 East 8th Street,Columbus,Platte,Nebraska,68601,coal,Coal = 61 MW,Conventional Steam Coal,71.4,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-97.286328,41.416442
2022-06,57046,Archer Daniels Midland Columbus,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.286328,41.4164420000001,5666,16225,57046,Archer Daniels Midland Columbus,772,Archer Daniels Midland Co,Industrial CHP,3000 East 8th Street,Columbus,Platte,Nebraska,68601,coal,Coal = 61 MW,Conventional Steam Coal,71.4,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-97.286328,41.416442
2021-10,57046,Archer Daniels Midland Columbus,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.286328,41.4164420000001,5666,16225,57046,Archer Daniels Midland Columbus,772,Archer Daniels Midland Co,Industrial CHP,3000 East 8th Street,Columbus,Platte,Nebraska,68601,coal,Coal = 61 MW,Conventional Steam Coal,71.4,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-97.286328,41.416442
2023-07,57046,Archer Daniels Midland Columbus,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.286328,41.4164420000001,5666,16225,57046,Archer Daniels Midland Columbus,772,Archer Daniels Midland Co,Industrial CHP,3000 East 8th Street,Columbus,Platte,Nebraska,68601,coal,Coal = 61 MW,Conventional Steam Coal,71.4,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-97.286328,41.416442
2023-10,57046,Archer Daniels Midland Columbus,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.286328,41.4164420000001,5666,16225,57046,Archer Daniels Midland Columbus,772,Archer Daniels Midland Co,Industrial CHP,3000 East 8th Street,Columbus,Platte,Nebraska,68601,coal,Coal = 61 MW,Conventional Steam Coal,71.4,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-97.286328,41.416442
2022-05,57046,Archer Daniels Midland Columbus,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.286328,41.4164420000001,5666,16225,57046,Archer Daniels Midland Columbus,772,Archer Daniels Midland Co,Industrial CHP,3000 East 8th Street,Columbus,Platte,Nebraska,68601,coal,Coal = 61 MW,Conventional Steam Coal,71.4,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-97.286328,41.416442
2020-03,57046,Archer Daniels Midland Columbus,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.286328,41.4164420000001,5666,16225,57046,Archer Daniels Midland Columbus,772,Archer Daniels Midland Co,Industrial CHP,3000 East 8th Street,Columbus,Platte,Nebraska,68601,coal,Coal = 61 MW,Conventional Steam Coal,71.4,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-97.286328,41.416442
2020-02,57046,Archer Daniels Midland Columbus,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.286328,41.4164420000001,5666,16225,57046,Archer Daniels Midland Columbus,772,Archer Daniels Midland Co,Industrial CHP,3000 East 8th Street,Columbus,Platte,Nebraska,68601,coal,Coal = 61 MW,Conventional Steam Coal,71.4,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-97.286328,41.416442
2019-08,57046,Archer Daniels Midland Columbus,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.286328,41.4164420000001,5666,16225,57046,Archer Daniels Midland Columbus,772,Archer Daniels Midland Co,Industrial CHP,3000 East 8th Street,Columbus,Platte,Nebraska,68601,coal,Coal = 61 MW,Conventional Steam Coal,71.4,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-97.286328,41.416442
2022-09,57046,Archer Daniels Midland Columbus,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.286328,41.4164420000001,5666,16225,57046,Archer Daniels Midland Columbus,772,Archer Daniels Midland Co,Industrial CHP,3000 East 8th Street,Columbus,Platte,Nebraska,68601,coal,Coal = 61 MW,Conventional Steam Coal,71.4,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-97.286328,41.416442
2023-11,57046,Archer Daniels Midland Columbus,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.286328,41.4164420000001,5666,16225,57046,Archer Daniels Midland Columbus,772,Archer Daniels Midland Co,Industrial CHP,3000 East 8th Street,Columbus,Platte,Nebraska,68601,coal,Coal = 61 MW,Conventional Steam Coal,71.4,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-97.286328,41.416442
2019-05,57046,Archer Daniels Midland Columbus,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.286328,41.4164420000001,5666,16225,57046,Archer Daniels Midland Columbus,772,Archer Daniels Midland Co,Industrial CHP,3000 East 8th Street,Columbus,Platte,Nebraska,68601,coal,Coal = 61 MW,Conventional Steam Coal,71.4,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-97.286328,41.416442
2023-01,57046,Archer Daniels Midland Columbus,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.286328,41.4164420000001,5666,16225,57046,Archer Daniels Midland Columbus,772,Archer Daniels Midland Co,Industrial CHP,3000 East 8th Street,Columbus,Platte,Nebraska,68601,coal,Coal = 61 MW,Conventional Steam Coal,71.4,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-97.286328,41.416442
2019-03,57046,Archer Daniels Midland Columbus,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-97.286328,41.4164420000001,5666,16225,57046,Archer Daniels Midland Columbus,772,Archer Daniels Midland Co,Industrial CHP,3000 East 8th Street,Columbus,Platte,Nebraska,68601,coal,Coal = 61 MW,Conventional Steam Coal,71.4,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-97.286328,41.416442
2022-06,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2019-06,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2020-03,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2020-04,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2019-05,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2022-08,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2022-03,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2019-02,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2020-01,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2021-12,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2019-11,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2022-05,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2020-06,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2021-09,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2020-08,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2019-04,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2020-05,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2021-06,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2021-07,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2020-11,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2019-03,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2022-12,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2021-03,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2019-07,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2022-09,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2020-10,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
2020-07,2300,Sargent,NG,Natural Gas,NE,Nebraska,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-99.3697999999999,41.6415880000001,602,12570,2300,Sargent,16667,City of Sargent - (NE),Electric Utility,107 N 2nd St,Sargent,Custer,Nebraska,68874,petroleum,Petroleum = 2.4 MW,Petroleum Liquids,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305,-99.3698,41.641588
